Name,Abbr,Division,Area_km2,Population_2022
Barguna,BRG,Barisal,1831,1035596
Barisal,BRS,Barisal,2785,2634203
Bhola,BHO,Barisal,3403,1980452
Jhalokati,JHA,Barisal,707,677559
Patuakhali,PAT,Barisal,3221,1770096
Pirojpur,PIR,Barisal,1278,1227915
Bandarban,BAN,Chittagong,4496,495252
Brahamanbaria,BBA,Chittagong,1881,3403786
Chandpur,CHA,Chittagong,1645,2713247
Chittagong,CHI,Chittagong,5282,9439076
Cox's Bazar,COX,Chittagong,2492,2906281
Comilla,CUM,Chittagong,3146,6394875
Feni,FEN,Chittagong,990,1697379
Khagrachhari,KHA,Chittagong,2749,735116
Lakshmipur,LAK,Chittagong,1440,1994930
Noakhali,NOA,Chittagong,3686,3732042
Rangamati,RGM,Chittagong,6116,666627
Dhaka,DHA,Dhaka,1464,15210851
Faridpur,FAR,Dhaka,2053,2232772
Gazipur,GAZ,Dhaka,1806,5433538
Gopalganj,GOP,Dhaka,1469,1336907
Kishoreganj,KIS,Dhaka,2689,3373219
Madaripur,MAD,Dhaka,1126,1334811
Manikganj,MAN,Dhaka,1384,1608372
Munshiganj,MUN,Dhaka,1004,1677941
Narayanganj,NYG,Dhaka,684,4035461
Narsingdi,NSD,Dhaka,1150,2667968
Rajbari,RJB,Dhaka,1092,1228267
Shariatpur,SHA,Dhaka,1174,1336396
Tangail,TAN,Dhaka,3414,4168083
Jamalpur,JAM,Mymensingh,2115,2583984
Mymensingh,MYM,Mymensingh,4395,6097814
Netrakona,NET,Mymensingh,2794,2403205
Sherpur,SHE,Mymensingh,1365,1552469
Bagerhat,BAG,Khulna,3959,1649874
Chuadanga,CHU,Khulna,1174,1262205
Jessore,JES,Khulna,2607,3146317
Jhenaidah,JHE,Khulna,1965,2051607
Khulna,KHU,Khulna,4394,2673002
Kushtia,KUS,Khulna,1609,2198731
Magura,MAG,Khulna,1039,1056683
Meherpur,MEH,Khulna,752,721447
Narail,NRA,Khulna,968,806662
Satkhira,SAT,Khulna,3817,2246691
Bogra,BOG,Rajshahi,2899,3815192
Nawabganj,NAW,Rajshahi,1703,1875290
Joypurhat,JAI,Rajshahi,1012,977150
Naogaon,NAO,Rajshahi,3436,2844921
Natore,NAT,Rajshahi,1900,1900213
Pabna,PAB,Rajshahi,2376,2972654
Rajshahi,RJS,Rajshahi,2425,2978156
Sirajganj,SIR,Rajshahi,2402,3430443
Dinajpur,DIN,Rangpur,3444,3392251
Gaibandha,GAI,Rangpur,2115,2621756
Kurigram,KUR,Rangpur,2245,2383268
Lalmonirhat,LAL,Rangpur,1247,1461589
Nilphamari,NIL,Rangpur,1547,2141180
Panchagarh,PAN,Rangpur,1405,1207252
Rangpur,RGP,Rangpur,2401,3243247
Thakurgaon,THA,Rangpur,1782,1569529
Habiganj,HAB,Sylhet,2637,2440151
Maulvibazar,MAU,Sylhet,2799,2196601
Sunamganj,SUN,Sylhet,3747,2788358
Sylhet,SYL,Sylhet,3452,3990003
